age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
44,M,574,En Couple,4,false,904 DF 27
49,M,812,Célibataire,0,false,8015 ZU 22
83,M,585,Célibataire,0,false,1053 LR 69
54,M,526,En Couple,2,false,6094 PT 14
22,M,589,En Couple,0,false,2961 HM 62
57,M,159,Célibataire,0,false,4292 QZ 74
83,F,1125,En Couple,2,true,7153 EL 88
18,M,976,En Couple,1,false,5138 YP 90
18,M,1326,En Couple,1,false,6257 BN 88
24,F,921,En Couple,0,false,5066 UK 77
58,M,1068,En Couple,2,false,3329 WD 80
48,M,1276,En Couple,4,false,9168 DI 13
33, ,543,En Couple,1,true,5721 ZG 27
19,F,546,En Couple,4,false,7626 AO 47
18,F,1306,En Couple,0,false,8878 IV 54
44,M,536,En Couple,2,true,1296 TP 12
68,M,501,En Couple,0,false,4330 FD 20
40,M,758,Célibataire,0,false,4059 LS 11
22,M,1067,En Couple,0,false,5591 SD 96
26,M,434,Célibataire,0,false,4985 CA 44
35,M,199,En Couple,4,true,6084 QE 57
51,F,437,En Couple,1,false,8631 NO 73
31,M,472,Célibataire,0,false,7838 ZC 97
75,M,223,En Couple,1,false,5669 ZR 21
83,M,877,En Couple,2,false,2856 XJ 64
64,M,464,Seule,3,false,1605 UW 87
21,F,1237,Célibataire,0,false,9203 OO 62
43,M,879,Célibataire,0,false,9804 BH 41
62,F,525,En Couple,3,?,6262 IQ 80
37,M,569,En Couple,0,false,8783 EL 60
28,M,516,En Couple,3,true,2294 VG 25
39,M,183,En Couple,2,false,9223 ER 70
42,F,1299,En Couple,0,false,7006 IV 24
35,M,562,En Couple,4,false,3021 NA 14
68,M,427,En Couple,2,false,5160 CR 94
75,M,173,En Couple,2,false,7230 BP 82
37,M,802,En Couple,2,false,210 QT 93
61,M,545,En Couple,0,false,7623 TO 88
29,F,190,Célibataire,0,false,3562 SW 80
23,M,483,Seule,3,false,8265 HJ 78
35,M,224,En Couple,3,false,738 SP 59
42,F,518,Célibataire,0,false,9958 JH 29
20,M,580,En Couple,1,false,2476 CO 28
51,M,489,Célibataire,0,false,7393 RW 27
44,M,439,Célibataire,0,false,7229 DL 86
23,M,931,Marié(e),3,false,5938 GN 29
82,M,973,En Couple,3,false,9790 EC 86
42,M,448,En Couple,3,false,6911 YG 76
54,M,431,En Couple,4,false,9734 WH 54
24,M,158,En Couple,1,false,2836 KX 75
54,M,950,Célibataire,0,false,1857 CI 61
34,F,460,En Couple,0,false,9099 FJ 63
78,M,455,En Couple,4,true,7819 ZD 49
44,F,452,En Couple,0,false,9252 QM 96
80,F,840,En Couple,0,false,3109 PV 88
31,F,572,En Couple,0,false,7886 XI 98
80,M,536,En Couple,4,false,1295 EQ 84
38,M,508,En Couple,2,false,3419 IA 27
48,M,153,En Couple,2,false,27 JT 92
82,M,976,En Couple,3,false,2976 CO 36
59,F,521,En Couple,3,true,8592 UW 25
23,M,556,Célibataire,0,false,9538 NB 31
67,M,199,Célibataire,0,false,5636 ZC 39
43,M,791,En Couple,4,false,905 NG 22
29,M,1244,En Couple,3,true,1361 CG 49
54,M,215,En Couple,2,true,5840 AA 29
20,M,1125,En Couple,1,true,8272 LM 17
52,F,442,En Couple,2,true,4066 AH 38
60,M,151,En Couple,4,true,6736 OP 55
54,M,588,En Couple,4,false,7230 GC 34
49,M,1119,Célibataire,0,false,6143 QH 62
44,M,518,Seule,2,false,7508 FY 50
50,M,994,Seule,1,false,239 YE 39
82,M,1352,Célibataire,0,false,5878 VL 59
45,F,963,En Couple,2,true,4450 OB 48
22,M,563,En Couple,1,true,4487 WA 75
23,M,538,Célibataire,0,false,8942 ND 14
56,M,526,En Couple,1,false,9838 JV 75
-1,M,478,Célibataire,0,false,2746 SL 30
27,M,534,En Couple,1,false,8884 ZK 30
57,M,220,Célibataire,0,false,878 AH 63
18,M,236,En Couple,3,false,8817 XI 74
20,M,516,En Couple,4,true,6535 QP 81
73,F,577,Célibataire,0,false,6338 OH 27
37,F,954,En Couple,0,false,832 RO 83
22,M,587,Seule,3,false,7894 JU 63
74,M,153,En Couple,0,false,6393 GS 98
82,M,420,En Couple,2,false,267 JB 58
18,F,235,Célibataire,0,false,6914 GY 77
51,M,513,En Couple,1,false,3669 AU 45
27,M,955,En Couple,2,false,9488 BB 79
84,F,403,En Couple,1,true,5752 PT 13
78,F,546,Célibataire,0,false,2600 SX 34
37,M,475,En Couple,3,true,9384 UE 21
59,M,713,Seule,1,false,2127 ES 62
25,M,523,En Couple,2,false,4559 CC 14
50,M,595,En Couple,3,false,1247 FQ 66
41,M,753,En Couple,1,false,439 XR 87
19,M,415,En Couple,3,false,148 AR 53
69,F,470,Célibataire,0,false,7067 OR 37
57,M,431,Célibataire,0,false,3402 ZZ 91
41,M,438,Célibataire,0,false,8010 ZV 47
59,F,595,En Couple,0,false,1153 XZ 52
46,M,501,En Couple,2,false,4404 QB 58
35,M,1091,En Couple,0,false,8169 HL 67
56,M,1137,En Couple,4,false,8474 OS 36
26,M,970,Célibataire,0,false,9094 PA 38
42,M,995,Célibataire,0,false,6385 MF 60
19,F,460,Célibataire,0,false,9260 PK 41
21,Femme,511,En Couple,1,false,7087 RT 86
81,M,435,En Couple,2,false,4323 HP 51
49,M,428,En Couple,2,false,9836 TD 92
43,M,1396,En Couple,1,true,5075 RU 98
64,M,450,Célibataire,0,false,3138 PQ 49
48,F,870,En Couple,2,false,393 VR 87
59,F,225,Seule,2,false,654 YO 56
39,M,528,En Couple,0,true,5104 UJ 67
34,F,249,Célibataire,0,false,2684 PY 42
80,F,423,En Couple,0,false,888 JR 81
44,M,465,En Couple,2,false,8045 WI 97
19,M,1209,Célibataire,0,false,9491 NU 43
84,M,501,Célibataire,0,false,996 HB 98
38,M,502,En Couple,1,true,226 NB 38
70,F,798,En Couple,4,false,724 VP 75
34,M,453,En Couple,1,false,4811 NY 63
-1,M,180,En Couple,3,false,8884 SY 37
63,M,713,Célibataire,0,false,7046 PX 51
25,M,1370,En Couple,3,false,3290 TN 16
38,M,484,En Couple,1,false,1211 JG 87
51,M,853,En Couple,0,false,4131 GK 67
57,M,180,Marié(e),2,false,2565 FV 36
19,M,522,En Couple,2,false,8185 OS 40
65,M,529,En Couple,3,false,7393 FE 74
42,M,238,En Couple,1,false,395 HM 64
22,M,400,En Couple,4,true,2319 SI 42
78,F,157,En Couple,0,false,568 HK 87
63,M,165,En Couple,1,false,8815 IM 49
25,M,439,Célibataire,0,false,5683 VM 70
37,M,174,En Couple,2,false,4549 IZ 48
42,F,548,Célibataire,0,false,6848 GY 74
20,M,1102,En Couple,0,false,6454 WB 71
25,Masculin,1303,En Couple,0,false,8229 HC 92
60, ,541,En Couple,3,false,8440 JZ 71
57,M,549,En Couple,0,false,8746 YI 10
22,M,439,En Couple,4,false,1301 AB 55
50,M,461,En Couple,2,false,1000 YT 28
64,M,503,En Couple,2,true,3384 FE 65
77,M,547,En Couple,1,false,1917 GV 53
62,M,499,Célibataire,0,false,7693 ND 60
18,M,439,Célibataire,0,false,1782 XY 27
38,F,533,En Couple,2,false,9845 GR 18
32,M,997,Célibataire,0,false,1908 XI 80
61,F,228,Célibataire,0,false,431 SF 71
51,M,403,Célibataire,0,false,3527 VD 74
46,M,552,En Couple,0,false,4000 YH 75
56,F,498,Célibataire,0,false,6389 VE 24
23,F,543,En Couple,1,false,1564 EB 71
37,M,1293,En Couple,2,false,339 UY 75
29,M,414,Célibataire,0,false,7481 LP 20
77,F,577,Célibataire,0,false,8282 AW 38
35,F,801,En Couple,1,false,5506 JK 59
29,F,704,En Couple,0,false,899 DA 53
20,M,244,En Couple,2,true,2706 PZ 82
27,M,404,En Couple,3,false,5131 US 88
28,M,419,Seule,2,false,5605 JV 49
36,M,477,Célibataire,0,false,3807 GV 77
61,M,429,En Couple,1,false,5994 EP 19
26,M,190,En Couple,2,false,7505 QK 21
22,M,428,Célibataire,0,false,5202 XH 46
19,M,236,Célibataire,0,false,3072 KI 87
20,M,834,Célibataire,0,false,7954 IR 44
27,F,211,Célibataire,0,false,9027 RM 68
37,M,413,En Couple,0,false,5708 CE 96
47,F,734,En Couple,4,false,5455 UH 41
49,M,1066,Célibataire,0,false,8938 LI 31
44,M,416,Célibataire,0,false,5339 MP 80
56,M,542,En Couple,0,false,4531 TR 31
25,M,424,Célibataire,0,false,9715 QI 77
59,M,985,En Couple,0,false,8979 HC 47
21,M,518,En Couple,2,false,1138 LU 35
78,M,1106,En Couple,4,false,1655 PY 46
31,M,441,Célibataire,0,false,358 UB 35
20,M,154,En Couple,2,false,894 MD 29
43,M,442,Seule,3,false,2271 RI 40
34,M,745,Célibataire,0,false,3464 IC 94
46,M,195,En Couple,2,false,9631 OY 62
47,M,754,Célibataire,0,false,8730 CJ 72
43,F,1397,Célibataire,0,false,4122 GF 86
77,M,833,En Couple,1,true,4152 IF 86
57,M,598,Célibataire,0,false,3960 FU 65
39,M,524,Célibataire,0,false,5721 DD 56
31,M,888,En Couple,1,true,3198 AL 93
50,M,1059,En Couple,2,false,4327 KH 16
19,M,541,Célibataire,0,false,3096 JQ 93
32,M,474,En Couple,1,false,6555 PM 78
73,M,203,Célibataire,0,false,6722 TX 49
38,M,586,En Couple,1,false,5332 LJ 91
43,M,529,En Couple,2,false,4585 JW 93
45,M,989,En Couple,3,false,2785 NR 28
27,M,491,En Couple,0,false,8174 UV 21
31,F,780,En Couple,3,false,1666 ZX 50
40,F,159,Célibataire,0,false,818 WW 70
36,F,1139,En Couple,4,false,2474 JE 49
45,F,171,Célibataire,0,false,9739 IQ 41
26,M,500,Seule,1,false,4399 CD 43
74,M,245,En Couple,0,false,1469 ZB 52
43,M,438,En Couple,1,false,7432 ZL 48
50,F,1347,En Couple,0,false,1666 KA 10
29,F,1198,En Couple,2,false,9134 VL 95
33,F,229,En Couple,4,false,5682 AH 25
29,M,418,En Couple,3,false,2027 JM 43
75,M,495,En Couple,4,false,267 KS 42
80,M,488,Seule,2,false,4845 RL 83
 ,M,1191,En Couple,0,false,4041 JU 72
22,M,443,En Couple,4,false,1203 LK 54
26,M,1050,En Couple,1,false,30 LX 75
40,M,442,En Couple,2,true,7086 IC 63
46,M,168,En Couple,1,false,1243 DF 50
82,F,468,En Couple,1,false,1889 BG 59
75,M,914,Célibataire,0,false,4340 BN 90
47,M,1063,En Couple,4,false,7761 CS 64
54,F,744,En Couple,3,true,9424 MJ 51
40,M,564,En Couple,3,true,886 UX 30
43,M,416,Célibataire,0,false,215 GU 25
18,M,1250,En Couple,2,false,8008 XI 97
50,M,729,Célibataire,0,false,2065 CX 10
77,F,550,En Couple,3,false,1473 MV 52
27,F,591,En Couple,3,false,1613 JO 83
52,M,1206,Célibataire,0,false,2257 VB 63
23,F,230,En Couple,0,false,2135 MA 12
26,M,156,En Couple,0,false,1892 YB 78
29,F,493,Célibataire,0,false,5855 HM 76
41,M,521,Célibataire,0,false,6302 HY 70
42,F,931,En Couple,0,false,6217 ZE 97
48,F,1330,Célibataire,0,false,1647 QT 61
20,M,544,En Couple,4,true,1159 FT 69
53,F,775,En Couple,2,false,1839 ID 56
63,M,525,Célibataire,0,false,4704 WX 37
56,M,994,Célibataire,0,false,3187 MB 28
29,M,1127,Célibataire,0,false,3660 ZY 49
49,F,477,En Couple,4,false,4149 MV 43
19,M,458,Célibataire,0,false,7846 JP 85
72,F,175,En Couple,1,false,2271 OS 83
28,M,1180,En Couple,2,true,120 OI 37
30,M,1199,Célibataire,0,false,5200 DG 12
18,M,579,En Couple,0,false,4145 LI 26
42,F,1314,Célibataire,0,false,7349 MZ 53
44,M,946,En Couple,1,false,3538 YG 18
39,M,248,En Couple,2,false,7136 FQ 96
24,M,480,En Couple,2,true,972 VX 67
43,F,475,En Couple,0,false,1189 YV 56
79,M,1155,En Couple,2,false,6307 XB 58
63,F,994,En Couple,2,false,4855 ZL 45
48,M,1336,En Couple,0,false,2046 YR 27
71,M,1123,En Couple,2,false,5023 PW 79
57,M,585,Marié(e),0,false,772 JO 73
28,M,168,Seule,2,false,549 LQ 74
23,M,160,Célibataire,0,false,7007 GU 74
65,M,1306,En Couple,1,false,404 DH 18
20,M,427,En Couple,0,false,2700 FG 59
20,F,556,En Couple,4,false,9242 YR 74
56,Femme,428,Célibataire,0,false,4153 SL 76
46,M,596,Célibataire,0,false,7205 JK 27
32,M,452,En Couple,1,false,9366 EN 92
60,F,406,En Couple,2,false,6246 OW 33
45,F,452,Célibataire,0,false,9844 AF 12
53,M,402,Célibataire,0,false,65 LE 17
45,M,1201,Célibataire,0,false,5912 DC 21
31,M,1116,En Couple,1,true,2667 NF 69
81,M,541,Seule,2,false,1832 WK 53
27,M,539,Célibataire,0,false,1914 GP 22
39,M,481,En Couple,3,false,12 KV 51
