,Marque / Modele,Bonus / Malus,Rejets CO2 g/km,Cout enerie
2,AUDI E-TRON SPORTBACK 55 (408ch) quattro,-6 000€ 1,0,319 €
3,AUDI E-TRON SPORTBACK 50 (313ch) quattro,-6 000€ 1,0,356 €
4,AUDI E-TRON 55 (408ch) quattro,-6 000€ 1,0,357 €
5,AUDI E-TRON 50 (313ch) quattro,-6 000€ 1,0,356 €
6,BMW i3 120 Ah,-6 000€ 1,0,204 €
7,BMW i3s 120 Ah,-6 000€ 1,0,204 €
8,CITROEN BERLINGO,-6 000€ 1,0,203 €
9,CITROEN C-ZERO,-6 000€ 1,0,491 €
10,DS DS3 CROSSBACK E-Tense (136ch),-6 000€ 1,0,251 €
11,HYUNDAI KONA electric 64 kWh,-6 000€ 1,0,205 €
12,HYUNDAI KONA electric 39 kWh,-6 000€ 1,0,205 €
13,JAGUAR I-PACE EV400 (400 CEE) - Automatique - 4 roues motrices,-6 000€ 1,0,271 €
14,"KIA e-NIRO Moteur Ã©lectrique synchrone Ã  aimant permanent, 150kW (204ch)",-6 000€ 1,0,212 €
15,"KIA e-NIRO Moteur Ã©lectrique synchrone Ã  aimant permanent, 100kW (136ch)",-6 000€ 1,0,203 €
16,KIA SOUL Moteur Ã©lectrique 150 kW (204ch),-6 000€ 1,0,214 €
17,KIA SOUL Moteur Ã©lectrique 100kW (136ch),-6 000€ 1,0,214 €
18,MERCEDES EQC 400 4MATIC,-6 000€ 1,0,291 €
19,MERCEDES VITO Tourer long eVITO (85kW) Traction 4x2 PTAC 3200kg,-6 000€ 1,0,411 €
20,MERCEDES VITO Tourer extra-long eVITO (85kW) Traction 4x2 PTAC 3200kg,-6 000€ 1,0,411 €
21,MINI MINI Cooper SE Hatch 3P (F56),-6 000€ 1,0,199 €
23,NISSAN Nouvelle NISSAN LEAF,-6 000€ 1,0,155 €
24,NISSAN Nouvelle NISSAN LEAF,-6 000€ 1,0,177 €
25,PEUGEOT 208 E- Tense (136 ch),-6 000€ 1,0,221 €
26,PEUGEOT ION electrique (67ch),-6 000€ 1,0,241 €
27,PEUGEOT PARTNER,-6 000€ 1,0,203 €
28,RENAULT ZOE (43Kw),-6 000€ 1,0,206 €
29,RENAULT ZOE (51Kw),-6 000€ 1,0,206 €
30,RENAULT ZOE (53Kw),-6 000€ 1,0,206 €
31,SKODA CITIGOe iV,-6 000€ 1,0,210 €
32,SMART EQ FORFOUR 22 kW Mode 3,-6 000€ 1,0,175 €
33,SMART EQ FORFOUR,-6 000€ 1,0,175 €
34,SMART EQ FORFOUR 22 kW Mode 2,-6 000€ 1,0,213 €
35,SMART EQ FORFOUR 7 kW Mode 2,-6 000€ 1,0,213 €
36,SMART EQ FORTWO COUPE,-6 000€ 1,0,175 €
37,SMART EQ FORTWO COUPE 22 kW Mode 2,-6 000€ 1,0,201 €
38,SMART EQ FORTWO COUPE 7 kW Mode 2,-6 000€ 1,0,201 €
39,SMART EQ FORTWO CABRIO 22 kW Mode 3,-6 000€ 1,0,175 €
40,SMART EQ FORTWO CABRIO,-6 000€ 1,0,175 €
41,SMART EQ FORTWO COUPE 22 kW Mode 3,-6 000€ 1,0,201 €
42,SMART EQ FORTWO CABRIO 7 kW Mode 2,-6 000€ 1,0,201 €
44,TESLA MODEL 3 (100Kw),-6 000€ 1,0,235 €
45,TESLA MODEL 3 (153Kw),-6 000€ 1,0,202 €
46,TESLA MODEL 3 (155Kw),-6 000€ 1,0,202 €
47,TESLA MODEL S (158Kw),-6 000€ 1,0,247 €
48,TESLA MODEL S (169Kw),-6 000€ 1,0,247 €
49,TESLA MODEL S (177Kw),-6 000€ 1,0,247 €
50,TESLA MODEL S (180Kw),-6 000€ 1,0,247 €
51,TESLA MODEL X (177Kw),-6 000€ 1,0,293 €
52,TESLA MODEL X (180Kw),-6 000€ 1,0,293 €
53,VOLKSWAGEN e-Golf 5P 136ch ess ar Mbr Fi A,-6 000€ 1,0,209 €
54,VOLKSWAGEN e-Golf 5P 136ch ess ar Spl Fi A,-6 000€ 1,0,209 €
55,VOLKSWAGEN e-up! Ã©lectrique (82ch) 14'' std,-6 000€ 1,0,185 €
56,VOLKSWAGEN e-up! Ã©lectrique (82ch) 15'' std,-6 000€ 1,0,185 €
57,HYUNDAI IONIQ plug-in,-,26,43 €
58,KIA NIRO 1.6 essence GDi (105ch) ISG / Electrique (60.5ch) DCT6 SystÃ¨me hybride rechargeable (141ch),-,29,47 €
59,MERCEDES A 250 e,-,30,74 €
60,MERCEDES A 250 e,-,30,74 €
61,MERCEDES B 250 e,-,30,62 €
62,PEUGEOT 508 2.0 PureTech (180ch) EAT8,-,31,67 €
63,PEUGEOT 508 2.0 PureTech (180ch) EAT8,-,31,67 €
65,SKODA SUPERB Berline PHEV pneu B famille A,-,31,85 €
66,SKODA SUPERB Berline PHEV pneu B famille B,-,31,85 €
67,SKODA SUPERB Berline PHEV pneu C famille A,-,31,85 €
68,SKODA SUPERB Berline PHEV pneu C famille B,-,31,85 €
69,SKODA SUPERB Combi PHEV pneu B famille A,-,31,85 €
70,SKODA SUPERB Combi PHEV pneu B famille B,-,31,85 €
71,SKODA SUPERB Combi PHEV pneu C famille A,-,31,85 €
72,SKODA SUPERB Combi PHEV pneu C famille B,-,31,85 €
73,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi A",-,31,56 €
74,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi B",-,31,56 €
75,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi A",-,31,56 €
76,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi B",-,31,56 €
77,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi A",-,31,56 €
78,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi B",-,31,56 €
79,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi A",-,31,56 €
80,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi B",-,31,56 €
81,TOYOTA PRIUS Hybride Rechargeable (122h) 17'' : Solar,-,32,43 €
82,DS DS7 CROSSBACK E-TENSE (200ch) EAT8,-,33,67 €
83,KIA OPTIMA SW 2.0 essence GDi (156ch) / Electrique (67ch) BVA6 SystÃ¨me hybride rechargeable (205ch),-,33,56 €
