age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture
21,F,1396,Célibataire,0,false
35,M,223,Célibataire,0,false
48,M,401,Célibataire,0,false
26,F,420,En Couple,3,true
80,M,530,En Couple,3,false
27,F,153,En Couple,2,false
59,F,572,En Couple,2,false
43,F,431,Célibataire,0,false
64,M,559,Célibataire,0,false
22,M,154,En Couple,1,false
79,F,981,En Couple,2,false
55,M,588,Célibataire,0,false
19,F,212,Célibataire,0,false
34,F,1112,En Couple,0,false
60,M,524,En Couple,0,true
22,M,411,En Couple,3,true
58,M,1192,En Couple,0,false
54,F,452,En Couple,3,true
35,M,589,Célibataire,0,false
59,M,748,En Couple,0,true
