(['Marque / Modele'], ['Bonus / Malus'], ['Rejets CO2 g/km'], ['Cout enerie'])
(['AUDI E-TRON SPORTBACK 55 (408ch) quattro'], ['-6 000€'], ['0'], ['319 €'])
(['AUDI E-TRON SPORTBACK 50 (313ch) quattro'], ['-6 000€'], ['0'], ['356 €'])
(['AUDI E-TRON 55 (408ch) quattro'], ['-6 000€'], ['0'], ['357 €'])
(['AUDI E-TRON 50 (313ch) quattro'], ['-6 000€'], ['0'], ['356 €'])
(['BMW i3 120 Ah'], ['-6 000€'], ['0'], ['204 €'])
(['BMW i3s 120 Ah'], ['-6 000€'], ['0'], ['204 €'])
(['CITROEN BERLINGO'], ['-6 000€'], ['0'], ['203 €'])
(['CITROEN C-ZERO'], ['-6 000€'], ['0'], ['491 €'])
(['DS DS3 CROSSBACK E-Tense (136ch)'], ['-6 000€'], ['0'], ['251 €'])
(['HYUNDAI KONA electric 64 kWh'], ['-6 000€'], ['0'], ['205 €'])
(['HYUNDAI KONA electric 39 kWh'], ['-6 000€'], ['0'], ['205 €'])
(['JAGUAR I-PACE EV400 (400 CEE) - Automatique - 4 roues motrices'], ['-6 000€'], ['0'], ['271 €'])
(['"KIA e-NIRO Moteur électrique synchrone à aimant permanent'], ['150kW (204ch)"'], ['-6 000€'], ['0'])
(['"KIA e-NIRO Moteur électrique synchrone à aimant permanent'], ['100kW (136ch)"'], ['-6 000€'], ['0'])
(['KIA SOUL Moteur électrique 150 kW (204ch)'], ['-6 000€'], ['0'], ['214 €'])
(['KIA SOUL Moteur électrique 100kW (136ch)'], ['-6 000€'], ['0'], ['214 €'])
(['MERCEDES EQC 400 4MATIC'], ['-6 000€'], ['0'], ['291 €'])
(['MERCEDES VITO Tourer long eVITO (85kW) Traction 4x2 PTAC 3200kg'], ['-6 000€'], ['0'], ['411 €'])
(['MERCEDES VITO Tourer extra-long eVITO (85kW) Traction 4x2 PTAC 3200kg'], ['-6 000€'], ['0'], ['411 €'])
(['MINI MINI Cooper SE Hatch 3P (F56)'], ['-6 000€'], ['0'], ['199 €'])
(['NISSAN Nouvelle NISSAN LEAF'], ['-6 000€'], ['0'], ['155 €'])
(['NISSAN Nouvelle NISSAN LEAF'], ['-6 000€'], ['0'], ['177 €'])
(['PEUGEOT 208 E- Tense (136 ch)'], ['-6 000€'], ['0'], ['221 €'])
(['PEUGEOT ION electrique (67ch)'], ['-6 000€'], ['0'], ['241 €'])
(['PEUGEOT PARTNER'], ['-6 000€'], ['0'], ['203 €'])
(['RENAULT ZOE (43Kw)'], ['-6 000€'], ['0'], ['206 €'])
(['RENAULT ZOE (51Kw)'], ['-6 000€'], ['0'], ['206 €'])
(['RENAULT ZOE (53Kw)'], ['-6 000€'], ['0'], ['206 €'])
(['SKODA CITIGOe iV'], ['-6 000€'], ['0'], ['210 €'])
(['SMART EQ FORFOUR 22 kW Mode 3'], ['-6 000€'], ['0'], ['175 €'])
(['SMART EQ FORFOUR'], ['-6 000€'], ['0'], ['175 €'])
(['SMART EQ FORFOUR 22 kW Mode 2'], ['-6 000€'], ['0'], ['213 €'])
(['SMART EQ FORFOUR 7 kW Mode 2'], ['-6 000€'], ['0'], ['213 €'])
(['SMART EQ FORTWO COUPE'], ['-6 000€'], ['0'], ['175 €'])
(['SMART EQ FORTWO COUPE 22 kW Mode 2'], ['-6 000€'], ['0'], ['201 €'])
(['SMART EQ FORTWO COUPE 7 kW Mode 2'], ['-6 000€'], ['0'], ['201 €'])
(['SMART EQ FORTWO CABRIO 22 kW Mode 3'], ['-6 000€'], ['0'], ['175 €'])
(['SMART EQ FORTWO CABRIO'], ['-6 000€'], ['0'], ['175 €'])
(['SMART EQ FORTWO COUPE 22 kW Mode 3'], ['-6 000€'], ['0'], ['201 €'])
(['SMART EQ FORTWO CABRIO 7 kW Mode 2'], ['-6 000€'], ['0'], ['201 €'])
