Marque/Modèle,Bonus/Malus,Rejets CO2 g/km,Coût en énergie
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg long Toit surélevé,+8 753€,185,736 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg normal Toit surélevé,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3190 kg normal Toit surélevé,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg normal Toit surélevé,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg long Toit surélevé,+8 753€,185,736 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3190 kg court Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3190 kg normal Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg court Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg normal Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3190 kg normal Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3190 kg court Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg court Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg normal Toit plat,+8 753€,185,736 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg normal Toit surélevé,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg long Toit surélevé,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3190 kg normal Toit surélevé,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg normal Toit surélevé,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg long Toit surélevé,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3190 kg normal Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3190 kg court Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg court Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg normal Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3190 kg normal Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3190 kg court Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg court Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg normal Toit plat,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3190 kg normal Toit surélevé,+8 753€,186,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg normal Toit surélevé,+8 753€,187,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3500 kg long Toit surélevé,+8 753€,187,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg normal Toit surélevé,+8 753€,187,746 €
MERCEDES SPRINTER Combi 316 CDI 163ch 4x2 PTAC 3500 kg long Toit surélevé,+8 753€,187,746 €
MERCEDES SPRINTER Combi 311 CDI 114ch 4x2 PTAC 3190 kg court Toit plat,+8 753€,187,746 €
MERCEDES SPRINTER Combi 311 CDI 114ch 4x2 PTAC 3190 kg normal Toit plat,+8 753€,187,746 €
MERCEDES SPRINTER Combi 311 CDI 114ch 4x2 PTAC 3500 kg normal Toit plat,+8 753€,187,746 €
MERCEDES SPRINTER Combi 311 CDI 114ch 4x2 PTAC 3500 kg court Toit plat,+8 753€,187,746 €
MERCEDES SPRINTER Combi 314 CDI 143ch 4x2 PTAC 3190 kg normal Toit plat,+8 753€,187,746 €
